Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment
69,346,1,12.18,1,1,2,112,4,At Risk/Churn
70,354,1,55.15,1,1,3,113,5,At Risk/Churn
71,257,1,12.510000000000002,1,1,2,112,4,At Risk/Churn
72,319,1,13.68,1,1,2,112,4,At Risk/Churn
73,318,1,2.11,1,1,1,111,3,At Risk/Churn
74,317,2,55.31,1,3,3,133,7,Loyal Customers
75,348,1,66.85,1,1,4,114,6,Loyal Customers
76,286,1,16.37,1,1,2,112,4,At Risk/Churn
77,359,1,25.12,1,1,3,113,5,At Risk/Churn
78,153,1,85.91,2,1,4,214,7,Loyal Customers
79,244,1,10.950000000000001,1,1,2,112,4,At Risk/Churn
80,352,1,11.37,1,1,2,112,4,At Risk/Churn
81,312,1,5.59,1,1,1,111,3,At Risk/Churn
82,171,1,13.299999999999999,2,1,2,212,5,At Risk/Churn
83,275,2,45.82,1,3,3,133,7,Loyal Customers
84,85,6,30.52,3,4,3,343,10,Champions
85,262,1,42.41,1,1,3,113,5,At Risk/Churn
86,351,1,6.07,1,1,1,111,3,At Risk/Churn
87,162,1,14.65,2,1,2,212,5,At Risk/Churn
88,348,1,15.8,1,1,2,112,4,At Risk/Churn
89,284,1,15.27,1,1,2,112,4,At Risk/Churn
90,293,1,4.02,1,1,1,111,3,At Risk/Churn
91,318,4,86.07000000000001,1,4,4,144,9,Champions
92,29,1,4.37,4,1,1,411,6,Loyal Customers
93,30,3,140.72,4,3,4,434,11,Champions
94,61,3,21.21,3,3,2,332,8,Loyal Customers
95,121,5,97.15,3,4,4,344,11,Champions
96,276,1,98.22,1,1,4,114,6,Loyal Customers
97,30,2,25.509999999999998,4,3,3,433,10,Champions
98,242,1,4.77,2,1,1,211,4,At Risk/Churn
99,183,7,97.23,2,4,4,244,10,Champions
100,306,1,13.129999999999999,1,1,2,112,4,At Risk/Churn
101,100,2,31.52,3,3,3,333,9,Champions
102,323,1,34.33,1,1,3,113,5,At Risk/Churn
103,274,1,8.32,1,1,1,111,3,At Risk/Churn
104,274,3,40.92,1,3,3,133,7,Loyal Customers
105,274,2,231.35,1,3,4,134,8,Loyal Customers
106,317,2,15.41,1,3,2,132,6,Loyal Customers
107,351,1,40.55,1,1,3,113,5,At Risk/Churn
108,94,2,17.82,3,3,2,332,8,Loyal Customers
109,273,6,458.81,1,4,4,144,9,Champions
110,276,1,15.760000000000002,1,1,2,112,4,At Risk/Churn
111,345,1,5.88,1,1,1,111,3,At Risk/Churn
112,152,6,449.41999999999996,2,4,4,244,10,Champions
113,147,2,37.53,2,3,3,233,8,Loyal Customers
114,241,1,8.8,2,1,1,211,4,At Risk/Churn
115,267,1,39.69,1,1,3,113,5,At Risk/Churn
116,254,1,11.87,1,1,2,112,4,At Risk/Churn
117,214,1,4.19,2,1,1,211,4,At Risk/Churn
118,216,2,126.53999999999999,2,3,4,234,9,Champions
119,181,2,27.48,2,3,3,233,8,Loyal Customers
120,314,1,3.21,1,1,1,111,3,At Risk/Churn
121,183,1,15.29,2,1,2,212,5,At Risk/Churn
122,241,2,29.939999999999998,2,3,3,233,8,Loyal Customers
123,291,2,35.29,1,3,3,133,7,Loyal Customers
124,245,1,64.81,1,1,4,114,6,Loyal Customers
125,182,1,7.23,2,1,1,211,4,At Risk/Churn
126,27,1,5.66,4,1,1,411,6,Loyal Customers
127,305,1,11.18,1,1,2,112,4,At Risk/Churn
128,152,3,35.75,2,3,3,233,8,Loyal Customers
129,122,1,7.23,2,1,1,211,4,At Risk/Churn
130,92,2,14.879999999999999,3,3,2,332,8,Loyal Customers
131,61,4,192.89,3,4,4,344,11,Champions
132,263,1,3.0,1,1,1,111,3,At Risk/Churn
133,214,1,16.43,2,1,2,212,5,At Risk/Churn
134,339,1,14.86,1,1,2,112,4,At Risk/Churn
135,268,1,21.869999999999997,1,1,2,112,4,At Risk/Churn
136,90,2,18.27,3,3,2,332,8,Loyal Customers
137,31,1,22.38,4,1,2,412,7,Loyal Customers
138,57,2,5.79,3,3,1,331,7,Loyal Customers
139,317,1,6.35,1,1,1,111,3,At Risk/Churn
140,252,4,74.67,1,4,4,144,9,Champions
141,318,1,9.0,1,1,1,111,3,At Risk/Churn
142,347,1,10.5,1,1,2,112,4,At Risk/Churn
143,337,2,16.450000000000003,1,3,2,132,6,Loyal Customers
144,214,1,7.41,2,1,1,211,4,At Risk/Churn
145,153,1,41.41,2,1,3,213,6,Loyal Customers
146,347,1,7.44,1,1,1,111,3,At Risk/Churn
147,341,1,16.31,1,1,2,112,4,At Risk/Churn
148,250,1,10.81,1,1,2,112,4,At Risk/Churn
149,87,2,22.89,3,3,2,332,8,Loyal Customers
150,33,1,3.88,4,1,1,411,6,Loyal Customers
151,232,1,20.75,2,1,2,212,5,At Risk/Churn
152,180,1,5.88,2,1,1,211,4,At Risk/Churn
153,184,2,38.74,2,3,3,233,8,Loyal Customers
154,290,1,1.5,1,1,1,111,3,At Risk/Churn
155,145,1,40.19,2,1,3,213,6,Loyal Customers
156,146,1,98.69000000000001,2,1,4,214,7,Loyal Customers
157,195,1,2.43,2,1,1,211,4,At Risk/Churn
158,30,2,16.81,4,3,2,432,9,Champions
159,365,1,44.55,1,1,3,113,5,At Risk/Churn
160,311,1,14.25,1,1,2,112,4,At Risk/Churn
161,255,1,6.35,1,1,1,111,3,At Risk/Churn
162,31,1,70.26,4,1,4,414,9,Champions
163,137,1,18.34,2,1,2,212,5,At Risk/Churn
164,339,1,5.79,1,1,1,111,3,At Risk/Churn
165,61,7,353.63,3,4,4,344,11,Champions
166,310,1,2.37,1,1,1,111,3,At Risk/Churn
167,242,3,56.82000000000001,2,3,3,233,8,Loyal Customers
168,273,1,54.9,1,1,3,113,5,At Risk/Churn
169,321,1,14.52,1,1,2,112,4,At Risk/Churn
170,338,2,8.59,1,3,1,131,5,At Risk/Churn
171,334,1,10.16,1,1,1,111,3,At Risk/Churn
172,288,1,2.59,1,1,1,111,3,At Risk/Churn
173,284,1,71.7,1,1,4,114,6,Loyal Customers
174,90,3,637.0,3,3,4,334,10,Champions
175,198,1,5.32,2,1,1,211,4,At Risk/Churn
176,153,3,10.69,2,3,2,232,7,Loyal Customers
177,54,1,26.8,3,1,3,313,7,Loyal Customers
178,335,1,58.99,1,1,3,113,5,At Risk/Churn
179,241,2,90.99000000000001,2,3,4,234,9,Champions
180,31,1,62.52,4,1,3,413,8,Loyal Customers
181,274,3,278.22,1,3,4,134,8,Loyal Customers
182,305,1,183.77,1,1,4,114,6,Loyal Customers
183,28,5,64.79,4,4,4,444,12,Champions
184,289,1,2.11,1,1,1,111,3,At Risk/Churn
185,320,1,48.489999999999995,1,1,3,113,5,At Risk/Churn
186,121,4,67.71,3,4,4,344,11,Champions
187,322,1,5.12,1,1,1,111,3,At Risk/Churn
188,153,3,233.6,2,3,4,234,9,Champions
189,332,1,30.52,1,1,3,113,5,At Risk/Churn
190,151,1,46.79,2,1,3,213,6,Loyal Customers
191,306,1,4.38,1,1,1,111,3,At Risk/Churn
192,159,1,5.56,2,1,1,211,4,At Risk/Churn
193,152,4,122.87,2,4,4,244,10,Champions
194,351,1,15.02,1,1,2,112,4,At Risk/Churn
195,335,1,13.1,1,1,2,112,4,At Risk/Churn
196,354,1,62.52,1,1,3,113,5,At Risk/Churn
197,309,2,21.94,1,3,2,132,6,Loyal Customers
198,31,2,196.39,4,3,4,434,11,Champions
199,61,1,25.89,3,1,3,313,7,Loyal Customers
200,244,1,16.86,1,1,2,112,4,At Risk/Churn
201,293,2,23.990000000000002,1,3,3,133,7,Loyal Customers
202,340,2,211.64000000000001,1,3,4,134,8,Loyal Customers
203,152,1,6.68,2,1,1,211,4,At Risk/Churn
204,319,1,7.94,1,1,1,111,3,At Risk/Churn
205,59,3,49.55,3,3,3,333,9,Champions
206,58,1,7.12,3,1,1,311,5,At Risk/Churn
207,332,1,6.75,1,1,1,111,3,At Risk/Churn
208,26,4,48.8,4,4,3,443,11,Champions
209,34,1,13.0,4,1,2,412,7,Loyal Customers
210,91,4,284.15,3,4,4,344,11,Champions
211,139,1,11.0,2,1,2,212,5,At Risk/Churn
212,289,1,26.060000000000002,1,1,3,113,5,At Risk/Churn
213,185,4,112.03,2,4,4,244,10,Champions
214,180,2,49.900000000000006,2,3,3,233,8,Loyal Customers
215,149,1,12.23,2,1,2,212,5,At Risk/Churn
216,153,1,2.13,2,1,1,211,4,At Risk/Churn
217,123,6,263.49,2,4,4,244,10,Champions
218,30,2,25.46,4,3,3,433,10,Champions
219,92,1,7.3,3,1,1,311,5,At Risk/Churn
220,321,1,13.07,1,1,2,112,4,At Risk/Churn
221,91,4,36.97,3,4,3,343,10,Champions
222,136,6,35.67,2,4,3,243,9,Champions
223,157,2,9.06,2,3,1,231,6,Loyal Customers
224,287,2,21.69,1,3,2,132,6,Loyal Customers
225,151,1,15.25,2,1,2,212,5,At Risk/Churn
226,288,3,83.62,1,3,4,134,8,Loyal Customers
227,152,1,3.28,2,1,1,211,4,At Risk/Churn
228,60,4,106.72,3,4,4,344,11,Champions
229,31,1,15.149999999999999,4,1,2,412,7,Loyal Customers
230,321,1,117.32,1,1,4,114,6,Loyal Customers
231,251,2,29.1,1,3,3,133,7,Loyal Customers
232,348,1,538.88,1,1,4,114,6,Loyal Customers
233,256,1,6.75,1,1,1,111,3,At Risk/Churn
234,61,1,13.09,3,1,2,312,6,Loyal Customers
235,274,1,21.22,1,1,2,112,4,At Risk/Churn
236,98,2,22.310000000000002,3,3,2,332,8,Loyal Customers
237,57,2,12.0,3,3,2,332,8,Loyal Customers
238,188,2,4.07,2,3,1,231,6,Loyal Customers
239,260,1,19.67,1,1,2,112,4,At Risk/Churn
240,338,1,36.97,1,1,3,113,5,At Risk/Churn
241,334,1,18.0,1,1,2,112,4,At Risk/Churn
242,321,1,42.16,1,1,3,113,5,At Risk/Churn
243,119,1,22.54,3,1,2,312,6,Loyal Customers
244,250,1,11.69,1,1,2,112,4,At Risk/Churn
245,304,3,644.64,1,3,4,134,8,Loyal Customers
246,183,3,36.87,2,3,3,233,8,Loyal Customers
247,300,1,7.23,1,1,1,111,3,At Risk/Churn
248,284,1,1.06,1,1,1,111,3,At Risk/Churn
249,243,2,12.450000000000001,2,3,2,232,7,Loyal Customers
250,242,1,90.33,2,1,4,214,7,Loyal Customers
251,207,2,19.57,2,3,2,232,7,Loyal Customers
252,315,1,8.46,1,1,1,111,3,At Risk/Churn
253,310,1,42.42,1,1,3,113,5,At Risk/Churn
254,221,1,28.05,2,1,3,213,6,Loyal Customers
255,233,1,3.69,2,1,1,211,4,At Risk/Churn
256,318,1,62.37,1,1,3,113,5,At Risk/Churn
257,334,1,84.81,1,1,4,114,6,Loyal Customers
258,121,1,7.9,3,1,1,311,5,At Risk/Churn
259,277,2,73.72000000000001,1,3,4,134,8,Loyal Customers
260,281,5,46.18,1,4,3,143,8,Loyal Customers
261,24,1,15.12,4,1,2,412,7,Loyal Customers
262,272,3,163.95999999999998,1,3,4,134,8,Loyal Customers
263,119,4,111.32,3,4,4,344,11,Champions
264,333,1,21.3,1,1,2,112,4,At Risk/Churn
265,32,3,23.39,4,3,2,432,9,Champions
266,286,7,555.29,1,4,4,144,9,Champions
267,31,2,173.45000000000002,4,3,4,434,11,Champions
268,260,1,6.21,1,1,1,111,3,At Risk/Churn
269,214,1,10.27,2,1,2,212,5,At Risk/Churn
270,365,1,7.41,1,1,1,111,3,At Risk/Churn
271,281,1,10.02,1,1,1,111,3,At Risk/Churn
272,341,1,14.620000000000001,1,1,2,112,4,At Risk/Churn
273,31,1,4.26,4,1,1,411,6,Loyal Customers
274,122,6,199.78,2,4,4,244,10,Champions
275,31,13,131.47,4,4,4,444,12,Champions
276,172,1,7.5,2,1,1,211,4,At Risk/Churn
277,345,1,4.12,1,1,1,111,3,At Risk/Churn
278,117,1,11.04,3,1,2,312,6,Loyal Customers
279,60,4,103.29,3,4,4,344,11,Champions
280,244,1,9.0,1,1,1,111,3,At Risk/Churn
281,290,1,7.57,1,1,1,111,3,At Risk/Churn
282,151,8,151.27,2,4,4,244,10,Champions
283,213,1,19.29,2,1,2,212,5,At Risk/Churn
284,287,2,9.69,1,3,1,131,5,At Risk/Churn
285,58,2,12.56,3,3,2,332,8,Loyal Customers
286,90,2,14.02,3,3,2,332,8,Loyal Customers
287,248,1,6.07,1,1,1,111,3,At Risk/Churn
288,249,8,65.59,1,4,4,144,9,Champions
289,90,6,44.71,3,4,3,343,10,Champions
290,59,1,16.240000000000002,3,1,2,312,6,Loyal Customers
291,60,1,5.87,3,1,1,311,5,At Risk/Churn
292,290,1,16.73,1,1,2,112,4,At Risk/Churn
293,59,2,22.88,3,3,2,332,8,Loyal Customers
294,365,1,8.52,1,1,1,111,3,At Risk/Churn
295,61,1,13.170000000000002,3,1,2,312,6,Loyal Customers
296,258,2,74.73,1,3,4,134,8,Loyal Customers
297,308,1,72.43,1,1,4,114,6,Loyal Customers
298,186,2,22.42,2,3,2,232,7,Loyal Customers
299,153,1,11.030000000000001,2,1,2,212,5,At Risk/Churn
300,338,1,6.61,1,1,1,111,3,At Risk/Churn
301,29,3,104.88,4,3,4,434,11,Champions
302,244,2,28.980000000000004,1,3,3,133,7,Loyal Customers
303,283,1,10.969999999999999,1,1,2,112,4,At Risk/Churn
304,31,1,35.69,4,1,3,413,8,Loyal Customers
305,285,1,47.120000000000005,1,1,3,113,5,At Risk/Churn
306,178,1,44.37,2,1,3,213,6,Loyal Customers
307,61,1,7.94,3,1,1,311,5,At Risk/Churn
308,30,7,169.93,4,4,4,444,12,Champions
309,199,1,4.49,2,1,1,211,4,At Risk/Churn
310,20,1,13.93,4,1,2,412,7,Loyal Customers
311,151,1,50.69,2,1,3,213,6,Loyal Customers
312,184,3,78.88,2,3,4,234,9,Champions
313,338,1,10.5,1,1,2,112,4,At Risk/Churn
314,269,2,8.04,1,3,1,131,5,At Risk/Churn
315,278,1,21.83,1,1,2,112,4,At Risk/Churn
316,351,1,10.46,1,1,2,112,4,At Risk/Churn
317,292,1,14.27,1,1,2,112,4,At Risk/Churn
318,350,1,45.41,1,1,3,113,5,At Risk/Churn
319,338,1,213.57,1,1,4,114,6,Loyal Customers
320,340,1,92.17999999999999,1,1,4,114,6,Loyal Customers
321,317,1,7.539999999999999,1,1,1,111,3,At Risk/Churn
322,307,2,79.21,1,3,4,134,8,Loyal Customers
323,281,1,15.18,1,1,2,112,4,At Risk/Churn
324,273,1,25.29,1,1,3,113,5,At Risk/Churn
325,182,2,48.09,2,3,3,233,8,Loyal Customers
326,211,1,14.97,2,1,2,212,5,At Risk/Churn
327,60,1,13.059999999999999,3,1,2,312,6,Loyal Customers
328,91,2,85.09,3,3,4,334,10,Champions
329,348,1,25.689999999999998,1,1,3,113,5,At Risk/Churn
330,345,1,10.02,1,1,1,111,3,At Risk/Churn
331,338,1,3.41,1,1,1,111,3,At Risk/Churn
332,61,5,84.88999999999999,3,4,4,344,11,Champions
333,140,2,12.0,2,3,2,232,7,Loyal Customers
334,181,9,645.78,2,4,4,244,10,Champions
335,308,1,4.91,1,1,1,111,3,At Risk/Churn
336,284,1,6.33,1,1,1,111,3,At Risk/Churn
337,258,2,21.78,1,3,2,132,6,Loyal Customers
338,151,2,115.78999999999999,2,3,4,234,9,Champions
339,31,4,777.1800000000001,4,4,4,444,12,Champions
340,151,1,4.02,2,1,1,211,4,At Risk/Churn
341,347,1,11.25,1,1,2,112,4,At Risk/Churn
342,59,5,33.989999999999995,3,4,3,343,10,Champions
343,335,1,6.75,1,1,1,111,3,At Risk/Churn
344,151,9,82.78,2,4,4,244,10,Champions
345,340,2,11.68,1,3,2,132,6,Loyal Customers
346,221,3,84.06,2,3,4,234,9,Champions
347,151,5,120.53999999999999,2,4,4,244,10,Champions
348,29,2,73.71,4,3,4,434,11,Champions
349,273,1,12.25,1,1,2,112,4,At Risk/Churn
350,245,2,17.259999999999998,1,3,2,132,6,Loyal Customers
351,90,1,17.18,3,1,2,312,6,Loyal Customers
352,323,1,36.97,1,1,3,113,5,At Risk/Churn
353,29,7,89.14,4,4,4,444,12,Champions
354,285,2,92.93,1,3,4,134,8,Loyal Customers
355,316,1,20.19,1,1,2,112,4,At Risk/Churn
356,305,1,6.62,1,1,1,111,3,At Risk/Churn
357,183,3,37.42,2,3,3,233,8,Loyal Customers
358,83,2,14.309999999999999,3,3,2,332,8,Loyal Customers
359,352,1,68.72999999999999,1,1,4,114,6,Loyal Customers
360,314,1,3.53,1,1,1,111,3,At Risk/Churn
361,213,1,19.51,2,1,2,212,5,At Risk/Churn
362,170,1,40.13,2,1,3,213,6,Loyal Customers
363,302,1,16.38,1,1,2,112,4,At Risk/Churn
364,290,1,19.63,1,1,2,112,4,At Risk/Churn
365,289,1,3.82,1,1,1,111,3,At Risk/Churn
366,60,7,84.3,3,4,4,344,11,Champions
367,336,1,3.96,1,1,1,111,3,At Risk/Churn
368,213,2,34.03,2,3,3,233,8,Loyal Customers
369,312,1,9.0,1,1,1,111,3,At Risk/Churn
370,342,1,5.19,1,1,1,111,3,At Risk/Churn
371,309,1,2.21,1,1,1,111,3,At Risk/Churn
372,59,1,16.36,3,1,2,312,6,Loyal Customers
373,214,1,15.36,2,1,2,212,5,At Risk/Churn
374,212,2,15.82,2,3,2,232,7,Loyal Customers
375,244,2,70.27,1,3,4,134,8,Loyal Customers
376,322,1,3.81,1,1,1,111,3,At Risk/Churn
377,181,1,11.0,2,1,2,212,5,At Risk/Churn
378,141,1,6.75,2,1,1,211,4,At Risk/Churn
379,353,1,36.63,1,1,3,113,5,At Risk/Churn
380,283,1,4.02,1,1,1,111,3,At Risk/Churn
381,60,1,6.68,3,1,1,311,5,At Risk/Churn
382,54,2,75.81,3,3,4,334,10,Champions
383,91,1,68.65,3,1,4,314,8,Loyal Customers
384,347,1,39.75,1,1,3,113,5,At Risk/Churn
385,148,1,22.33,2,1,2,212,5,At Risk/Churn
386,30,6,110.31,4,4,4,444,12,Champions
387,363,1,9.5,1,1,1,111,3,At Risk/Churn
388,220,1,34.629999999999995,2,1,3,213,6,Loyal Customers
389,334,1,8.18,1,1,1,111,3,At Risk/Churn
390,243,1,14.44,2,1,2,212,5,At Risk/Churn
391,153,1,21.86,2,1,2,212,5,At Risk/Churn
392,194,1,5.38,2,1,1,211,4,At Risk/Churn
393,243,2,88.62,2,3,4,234,9,Champions
394,314,2,13.31,1,3,2,132,6,Loyal Customers
395,30,4,414.46,4,4,4,444,12,Champions
396,337,1,5.79,1,1,1,111,3,At Risk/Churn
397,242,1,21.86,2,1,2,212,5,At Risk/Churn
398,138,5,150.93,2,4,4,244,10,Champions
399,335,1,10.43,1,1,2,112,4,At Risk/Churn
400,232,1,4.81,2,1,1,211,4,At Risk/Churn
401,185,1,6.54,2,1,1,211,4,At Risk/Churn
402,256,1,3.88,1,1,1,111,3,At Risk/Churn
403,59,3,32.620000000000005,3,3,3,333,9,Champions
404,142,1,15.08,2,1,2,212,5,At Risk/Churn
405,282,2,51.19,1,3,3,133,7,Loyal Customers
406,304,1,18.880000000000003,1,1,2,112,4,At Risk/Churn
407,287,1,7.44,1,1,1,111,3,At Risk/Churn
408,60,3,142.83,3,3,4,334,10,Champions
409,339,1,7.88,1,1,1,111,3,At Risk/Churn
410,152,4,81.33,2,4,4,244,10,Champions
411,293,1,2.97,1,1,1,111,3,At Risk/Churn
412,152,2,60.59,2,3,3,233,8,Loyal Customers
413,213,2,31.43,2,3,3,233,8,Loyal Customers
414,208,2,67.23,2,3,4,234,9,Champions
415,59,3,31.8,3,3,3,333,9,Champions
416,29,3,52.15,4,3,3,433,10,Champions
417,241,1,9.13,2,1,1,211,4,At Risk/Churn
418,313,1,19.12,1,1,2,112,4,At Risk/Churn
419,286,1,200.63,1,1,4,114,6,Loyal Customers
420,238,2,45.82,2,3,3,233,8,Loyal Customers
421,333,1,33.4,1,1,3,113,5,At Risk/Churn
422,314,2,28.36,1,3,3,133,7,Loyal Customers
423,185,2,208.23000000000002,2,3,4,234,9,Champions
424,31,6,164.98,4,4,4,444,12,Champions
425,334,1,3.34,1,1,1,111,3,At Risk/Churn
426,88,1,11.5,3,1,2,312,6,Loyal Customers
427,335,1,15.19,1,1,2,112,4,At Risk/Churn
428,275,1,4.91,1,1,1,111,3,At Risk/Churn
429,354,1,25.53,1,1,3,113,5,At Risk/Churn
430,320,1,21.54,1,1,2,112,4,At Risk/Churn
431,315,1,5.03,1,1,1,111,3,At Risk/Churn
432,283,2,288.31,1,3,4,134,8,Loyal Customers
433,312,1,15.329999999999998,1,1,2,112,4,At Risk/Churn
434,319,1,15.61,1,1,2,112,4,At Risk/Churn
435,320,1,14.37,1,1,2,112,4,At Risk/Churn
436,129,3,32.08,2,3,3,233,8,Loyal Customers
437,255,1,4.02,1,1,1,111,3,At Risk/Churn
438,255,1,5.73,1,1,1,111,3,At Risk/Churn
439,243,1,87.03,2,1,4,214,7,Loyal Customers
440,117,1,7.27,3,1,1,311,5,At Risk/Churn
441,285,1,25.18,1,1,3,113,5,At Risk/Churn
442,48,1,11.75,3,1,2,312,6,Loyal Customers
443,363,1,12.64,1,1,2,112,4,At Risk/Churn
444,256,2,25.540000000000003,1,3,3,133,7,Loyal Customers
445,319,1,24.93,1,1,3,113,5,At Risk/Churn
446,115,2,14.760000000000002,3,3,2,332,8,Loyal Customers
447,151,3,62.04,2,3,3,233,8,Loyal Customers
448,31,2,66.04,4,3,4,434,11,Champions
449,349,1,26.740000000000002,1,1,3,113,5,At Risk/Churn
450,28,3,47.480000000000004,4,3,3,433,10,Champions
451,324,1,7.5,1,1,1,111,3,At Risk/Churn
452,321,1,18.8,1,1,2,112,4,At Risk/Churn
453,32,1,21.12,4,1,2,412,7,Loyal Customers
454,313,2,10.440000000000001,1,3,2,132,6,Loyal Customers
455,249,1,116.46,1,1,4,114,6,Loyal Customers
456,213,2,15.11,2,3,2,232,7,Loyal Customers
457,317,1,55.43,1,1,3,113,5,At Risk/Churn
458,122,2,39.82,2,3,3,233,8,Loyal Customers
459,352,1,7.74,1,1,1,111,3,At Risk/Churn
460,171,1,6.75,2,1,1,211,4,At Risk/Churn
461,338,1,22.19,1,1,2,112,4,At Risk/Churn
462,153,1,18.54,2,1,2,212,5,At Risk/Churn
463,330,1,8.46,1,1,1,111,3,At Risk/Churn
464,365,1,48.150000000000006,1,1,3,113,5,At Risk/Churn
465,276,1,3.18,1,1,1,111,3,At Risk/Churn
466,282,1,48.69,1,1,3,113,5,At Risk/Churn
467,152,1,9.35,2,1,1,211,4,At Risk/Churn
468,153,1,1.36,2,1,1,211,4,At Risk/Churn
469,89,3,24.92,3,3,3,333,9,Champions
470,282,1,11.18,1,1,2,112,4,At Risk/Churn
471,278,1,4.26,1,1,1,111,3,At Risk/Churn
472,61,3,41.83,3,3,3,333,9,Champions
473,284,5,75.8,1,4,4,144,9,Champions
474,321,1,23.42,1,1,2,112,4,At Risk/Churn
475,52,1,25.98,3,1,3,313,7,Loyal Customers
476,311,1,3.07,1,1,1,111,3,At Risk/Churn
477,131,2,73.5,2,3,4,234,9,Champions
478,106,1,19.68,3,1,2,312,6,Loyal Customers
479,171,1,35.37,2,1,3,213,6,Loyal Customers
480,211,1,5.73,2,1,1,211,4,At Risk/Churn
481,29,2,15.280000000000001,4,3,2,432,9,Champions
482,278,3,41.9,1,3,3,133,7,Loyal Customers
483,345,1,15.99,1,1,2,112,4,At Risk/Churn
484,128,1,11.62,2,1,2,212,5,At Risk/Churn
485,262,2,79.08,1,3,4,134,8,Loyal Customers
486,354,1,6.01,1,1,1,111,3,At Risk/Churn
487,344,1,7.9,1,1,1,111,3,At Risk/Churn
488,311,1,16.58,1,1,2,112,4,At Risk/Churn
489,337,1,14.92,1,1,2,112,4,At Risk/Churn
490,340,1,13.14,1,1,2,112,4,At Risk/Churn
